Requirement_ID,Requirement_Class,Domain,Source_Number,Requirement,Provenance,Source_Registry,Use_Case_or_Control,UI_Reference,UI_Surface,Decision_Reference,Design_Data_Reference,Test_Target,SRS_Trace_Status,Implementation_Issue,Implementation_PR,Test_Evidence,Result,Notes
FR-PROFILE-004,Source FR,Profile & Fragrance Identity,11,Fragrance preference profile creation,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-004,docs/ui/account-profile.md,Fragrance Preferences,"D-005, D-006, D-089, D-101",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-005,Source FR,Profile & Fragrance Identity,12,Favourite fragrance note selection,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-004,docs/ui/account-profile.md,Fragrance Preferences,"D-005, D-006, D-089, D-101",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-006,Source FR,Profile & Fragrance Identity,13,Preferred perfume intensity selection,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-004,docs/ui/account-profile.md,Fragrance Preferences,"D-005, D-006, D-089, D-101",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-007,Source FR,Profile & Fragrance Identity,14,Fragrance sensitivity recording,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-004,docs/ui/account-profile.md,Fragrance Preferences,"D-005, D-006, D-089, D-101",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-008,Source FR,Profile & Fragrance Identity,15,Customer fragrance identity generation,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-005,docs/ui/account-profile.md,Fragrance Identity,D-007,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-001,Source FR,Product Management,16,Perfume product creation,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-001,docs/ui/catalogue-discovery.md,Product Management,"D-012, D-013, D-014",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-002,Source FR,Product Management,17,Perfume product editing,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-001,docs/ui/catalogue-discovery.md,Product Management,"D-012, D-013, D-014",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-003,Source FR,Product Management,18,Perfume product deletion,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-001,docs/ui/catalogue-discovery.md,Product Management,"D-012, D-013, D-014",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-004,Source FR,Product Management,19,Perfume image management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-001,docs/ui/catalogue-discovery.md,Product Management,"D-012, D-013, D-014",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-005,Source FR,Product Management,20,Perfume description management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-001,docs/ui/catalogue-discovery.md,Product Management,"D-012, D-013, D-014",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-006,Source FR,Product Management,21,Perfume price management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-002,docs/ui/catalogue-discovery.md,Variant Management,"D-014, D-018",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-007,Source FR,Product Management,22,Perfume bottle-size management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-002,docs/ui/catalogue-discovery.md,Variant Management,"D-014, D-018",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-008,Source FR,Product Management,23,Perfume concentration management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-002,docs/ui/catalogue-discovery.md,Variant Management,"D-014, D-018",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-009,Source FR,Product Management,24,Perfume SKU management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-002,docs/ui/catalogue-discovery.md,Variant Management,"D-014, D-018",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PRODUCT-010,Source FR,Product Management,25,Perfume availability management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-002,docs/ui/catalogue-discovery.md,Variant Management,"D-014, D-018",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit catalogue validation; integration persistence; admin E2E management; RBAC/archive/invalid-data negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-001,Source FR,Collection & Fragrance Notes,26,Perfume collection creation,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-003,docs/ui/catalogue-discovery.md,Collection Management,D-017,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-002,Source FR,Collection & Fragrance Notes,27,Perfume collection editing,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-003,docs/ui/catalogue-discovery.md,Collection Management,D-017,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-003,Source FR,Collection & Fragrance Notes,28,Seasonal collection management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-003,docs/ui/catalogue-discovery.md,Collection Management,D-017,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-004,Source FR,Collection & Fragrance Notes,29,Limited-edition collection management,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-003,docs/ui/catalogue-discovery.md,Collection Management,D-017,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-005,Source FR,Collection & Fragrance Notes,30,Top-note assignment,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-004,docs/ui/catalogue-discovery.md,Fragrance Notes & Family Management,"D-015, D-016",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-006,Source FR,Collection & Fragrance Notes,31,Middle-note assignment,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-004,docs/ui/catalogue-discovery.md,Fragrance Notes & Family Management,"D-015, D-016",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-007,Source FR,Collection & Fragrance Notes,32,Base-note assignment,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-004,docs/ui/catalogue-discovery.md,Fragrance Notes & Family Management,"D-015, D-016",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-COLLECTION-008,Source FR,Collection & Fragrance Notes,33,Fragrance-family assignment,Client/source baseline,docs/requirements/functional-requirements.md,UC-CAT-004,docs/ui/catalogue-discovery.md,Fragrance Notes & Family Management,"D-015, D-016",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit classification rules; integration persistence; admin E2E collection/note/family management; invalid relationship negatives.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-001,Source FR,Discovery & Search,34,Perfume catalogue browsing,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-001,docs/ui/catalogue-discovery.md,Catalogue Browse,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-002,Source FR,Discovery & Search,35,Keyword-based perfume search,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-002,docs/ui/catalogue-discovery.md,Catalogue Search,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-003,Source FR,Discovery & Search,36,Fragrance-note filtering,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-003,docs/ui/catalogue-discovery.md,Catalogue Filters,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-004,Source FR,Discovery & Search,37,Fragrance-family filtering,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-003,docs/ui/catalogue-discovery.md,Catalogue Filters,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-005,Source FR,Discovery & Search,38,Price-range filtering,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-003,docs/ui/catalogue-discovery.md,Catalogue Filters,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-006,Source FR,Discovery & Search,39,Perfume intensity filtering,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-003,docs/ui/catalogue-discovery.md,Catalogue Filters,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-007,Source FR,Discovery & Search,40,Occasion-based perfume filtering,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-003,docs/ui/catalogue-discovery.md,Catalogue Filters,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-008,Source FR,Discovery & Search,41,Mood-based perfume filtering,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-003,docs/ui/catalogue-discovery.md,Catalogue Filters,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-009,Source FR,Discovery & Search,42,Weather-based perfume suggestions,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-004,docs/ui/catalogue-discovery.md,Weather Suggestions,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-DISCOVERY-010,Source FR,Discovery & Search,43,Perfume comparison,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-005,docs/ui/catalogue-discovery.md,Perfume Comparison,"D-010, D-018–D-021",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit deterministic search/filter rules; integration catalogue queries; public E2E browse/search/filter/compare; NFR search correctness/performance.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-001,Source FR,Virtual Fragrance Experience,44,Interactive fragrance wheel display,Client/source baseline,docs/requirements/functional-requirements.md,UC-VIRT-001,docs/ui/catalogue-discovery.md,Fragrance Wheel,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-002,Source FR,Virtual Fragrance Experience,45,Fragrance note journey visualisation,Client/source baseline,docs/requirements/functional-requirements.md,UC-VIRT-002,docs/ui/catalogue-discovery.md,Fragrance Note Journey,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-003,Source FR,Virtual Fragrance Experience,46,Perfume longevity estimation,Client/source baseline,docs/requirements/functional-requirements.md,UC-VIRT-003,docs/ui/catalogue-discovery.md,Performance & Suitability,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-004,Source FR,Virtual Fragrance Experience,47,Perfume projection strength display,Client/source baseline,docs/requirements/functional-requirements.md,UC-VIRT-003,docs/ui/catalogue-discovery.md,Performance & Suitability,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-005,Source FR,Virtual Fragrance Experience,48,Daytime and evening suitability display,Client/source baseline,docs/requirements/functional-requirements.md,UC-VIRT-003,docs/ui/catalogue-discovery.md,Performance & Suitability,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-006,Source FR,Virtual Fragrance Experience,49,Seasonal suitability display,Client/source baseline,docs/requirements/functional-requirements.md,UC-VIRT-003,docs/ui/catalogue-discovery.md,Performance & Suitability,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-VIRTUAL-007,Source FR,Virtual Fragrance Experience,50,Virtual scent profile comparison,Client/source baseline,docs/requirements/functional-requirements.md,UC-DISC-005,docs/ui/catalogue-discovery.md,Perfume Comparison,D-022–D-026,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit controlled mapping/presentation; E2E wheel/note journey/performance/suitability/compare; missing-data negative states.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PERSONAL-001,Source FR,Customisation & Personalisation,51,Personalised perfume label creation,Client/source baseline,docs/requirements/functional-requirements.md,UC-PERS-01,docs/ui/personalisation-ai-support.md,Product Customisation,"D-027, D-028",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit customisation/layering/sample/quiz rules; cart/recommendation integration; E2E personalisation; AI failure/invalid-output fallback.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PERSONAL-002,Source FR,Customisation & Personalisation,52,Customer name engraving request,Client/source baseline,docs/requirements/functional-requirements.md,UC-PERS-01,docs/ui/personalisation-ai-support.md,Product Customisation,"D-027, D-028",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit customisation/layering/sample/quiz rules; cart/recommendation integration; E2E personalisation; AI failure/invalid-output fallback.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PERSONAL-003,Source FR,Customisation & Personalisation,53,Custom gift message creation,Client/source baseline,docs/requirements/functional-requirements.md,UC-PERS-01,docs/ui/personalisation-ai-support.md,Product Customisation,"D-027, D-028",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit customisation/layering/sample/quiz rules; cart/recommendation integration; E2E personalisation; AI failure/invalid-output fallback.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
